"person_uri","persName","birthYear"
"http://dbpedia.org/resource/Mihail_G._Boiagi","Mihail G. Boiagi",1780
"http://dbpedia.org/resource/Andrés_Bello","Andrés Bello",1781
"http://dbpedia.org/resource/Jacob_Grimm","Jacob Grimm",1785
"http://dbpedia.org/resource/Vuk_Karadžić","Vuk Karadžić",1787
"http://dbpedia.org/resource/Rasmus_Rask","Rasmus Rask",1787
"http://dbpedia.org/resource/Alfred_Wright_(missionary)","Alfred Wright (missionary)",1788
"http://dbpedia.org/resource/Jean-François_Champollion","Jean-François Champollion",1790
"http://dbpedia.org/resource/Franz_Bopp","Franz Bopp",1791
"http://dbpedia.org/resource/Cyrus_Byington","Cyrus Byington",1793
"http://dbpedia.org/resource/Samuel_Worcester","Samuel Worcester",1798
"http://dbpedia.org/resource/Vladimir_Dal","Vladimir Dal",1801
"http://dbpedia.org/resource/John_Russell_Bartlett","John Russell Bartlett",1805
"http://dbpedia.org/resource/Karl_Richard_Lepsius","Karl Richard Lepsius",1810
"http://dbpedia.org/resource/Carl_August_Hagberg","Carl August Hagberg",1810
"http://dbpedia.org/resource/Samuel_Wells_Williams","Samuel Wells Williams",1812
"http://dbpedia.org/resource/Franz_Miklosich","Franz Miklosich",1813
"http://dbpedia.org/resource/James_Curtis_Hepburn","James Curtis Hepburn",1815
"http://dbpedia.org/resource/August_Schleicher","August Schleicher",1821
"http://dbpedia.org/resource/Francis_March","Francis March",1825
"http://dbpedia.org/resource/Wilhelm_Bleek","Wilhelm Bleek",1827
"http://dbpedia.org/resource/William_Dwight_Whitney","William Dwight Whitney",1827
"http://dbpedia.org/resource/Graziadio_Isaia_Ascoli","Graziadio Isaia Ascoli",1829
"http://dbpedia.org/resource/Fran_Levstik","Fran Levstik",1831
"http://dbpedia.org/resource/Walter_William_Skeat","Walter William Skeat",1835
"http://dbpedia.org/resource/James_Murray_(lexicographer)","James Murray (lexicographer)",1837
"http://dbpedia.org/resource/Carl_Abel","Carl Abel",1837
"http://dbpedia.org/resource/Vatroslav_Jagić","Vatroslav Jagić",1838
"http://dbpedia.org/resource/Jan_Gebauer","Jan Gebauer",1838
"http://dbpedia.org/resource/August_Leskien","August Leskien",1840
"http://dbpedia.org/resource/Sylvester_Primer","Sylvester Primer",1842
"http://dbpedia.org/resource/Berthold_Delbrück","Berthold Delbrück",1842
"http://dbpedia.org/resource/Miguel_Antonio_Caro","Miguel Antonio Caro",1843
"http://dbpedia.org/resource/Johannes_Schmidt_(linguist)","Johannes Schmidt (linguist)",1843
"http://dbpedia.org/resource/Rufino_José_Cuervo","Rufino José Cuervo",1844
"http://dbpedia.org/resource/Henry_Sweet","Henry Sweet",1845
"http://dbpedia.org/resource/Archibald_Sayce","Archibald Sayce",1845
"http://dbpedia.org/resource/Karl_Verner","Karl Verner",1846
"http://dbpedia.org/resource/Hermann_Osthoff","Hermann Osthoff",1847
"http://dbpedia.org/resource/Ōtsuki_Fumihiko","Ōtsuki Fumihiko",1847
