"person","organisation","membership_type","fk_sparql_query","metadata"
"http://dbpedia.org/resource/Karl_Richard_Lepsius","http://dbpedia.org/resource/Humboldt_University_of_Berlin","almaMater",2,"Importation 21 janvier 2026"
"http://dbpedia.org/resource/Karl_Richard_Lepsius","http://dbpedia.org/resource/Leipzig_University","almaMater",2,"Importation 21 janvier 2026"
"http://dbpedia.org/resource/Karl_Richard_Lepsius","http://dbpedia.org/resource/University_of_Göttingen","almaMater",2,"Importation 21 janvier 2026"
"http://dbpedia.org/resource/Henry_Sweet","http://dbpedia.org/resource/Balliol_College,_Oxford","almaMater",2,"Importation 21 janvier 2026"
"http://dbpedia.org/resource/Michael_Clyne","http://dbpedia.org/resource/Monash_University","almaMater",2,"Importation 21 janvier 2026"
"http://dbpedia.org/resource/Michael_Clyne","http://dbpedia.org/resource/University_of_Melbourne","almaMater",2,"Importation 21 janvier 2026"
"http://dbpedia.org/resource/Charles_Berlitz","http://dbpedia.org/resource/Yale_University","almaMater",2,"Importation 21 janvier 2026"
"http://dbpedia.org/resource/David_Crystal","http://dbpedia.org/resource/University_College_London","almaMater",2,"Importation 21 janvier 2026"
"http://dbpedia.org/resource/Max_Weinreich","http://dbpedia.org/resource/University_of_Marburg","almaMater",2,"Importation 21 janvier 2026"
"http://dbpedia.org/resource/Karen_Stollznow","http://dbpedia.org/resource/University_of_New_England_(Australia)","almaMater",2,"Importation 21 janvier 2026"
"http://dbpedia.org/resource/Lidiia_Hryhorchuk","http://dbpedia.org/resource/University_of_Lviv","almaMater",2,"Importation 21 janvier 2026"
"http://dbpedia.org/resource/Jean-François_Champollion","http://dbpedia.org/resource/Collège_de_France","almaMater",2,"Importation 21 janvier 2026"
"http://dbpedia.org/resource/Jean-François_Champollion","http://dbpedia.org/resource/Institut_national_des_langues_et_civilisations_orientales","almaMater",2,"Importation 21 janvier 2026"
"http://dbpedia.org/resource/Bruce_Hayes_(linguist)","http://dbpedia.org/resource/Harvard_University","almaMater",2,"Importation 21 janvier 2026"
"http://dbpedia.org/resource/Bruce_Hayes_(linguist)","http://dbpedia.org/resource/Massachusetts_Institute_of_Technology","almaMater",2,"Importation 21 janvier 2026"
"http://dbpedia.org/resource/Ahmad_Hasan_Dani","http://dbpedia.org/resource/Banaras_Hindu_University","almaMater",2,"Importation 21 janvier 2026"
"http://dbpedia.org/resource/Samuel_Worcester","http://dbpedia.org/resource/University_of_Vermont","almaMater",2,"Importation 21 janvier 2026"
"http://dbpedia.org/resource/Vyacheslav_Ivanov_(philologist)","http://dbpedia.org/resource/Moscow_State_University","almaMater",2,"Importation 21 janvier 2026"
"http://dbpedia.org/resource/Gunnar_Jarring","http://dbpedia.org/resource/Lund_University","almaMater",2,"Importation 21 janvier 2026"
"http://dbpedia.org/resource/Shinobu_Orikuchi","http://dbpedia.org/resource/Kokugakuin_University","almaMater",2,"Importation 21 janvier 2026"
"http://dbpedia.org/resource/Alexander_Gode","http://dbpedia.org/resource/Columbia_University","almaMater",2,"Importation 21 janvier 2026"
