name;organisation
Christopher Ehert;University of California, Los Angeles
William Labov;Columbia University 
William Labov;Harvard University 
William Labov;University of Pennsylvania
Paul Herbert Grice;St John's College, Oxford
Paul Herbert Grice;University of California, Berkley
 Dell Hathaway Hymes;University of Pennsylvania
 Dell Hathaway Hymes;University of California, Berkley
 Dell Hathaway Hymes;Harvard University 
Antoine Meillet;Institut national des langues et civilisations oriantes
Antoine Meillet;College de France
Geoffrey Nunberg;Columbia College
Geoffrey Nunberg;City University of New York
Geoffrey Nunberg;University of Pennsylvania
Archibald Tucker;University College London
Archibald Tucker;University of Cape Town
Elizabeth Theodora Uldall;Barnard College
Elizabeth Theodora Uldall;University of Edinburgh
Uriel Weinreich;Columbia University 
Max Weinrech;University of Marburg
